Designator,Mid X,Mid Y,Rotation,Layer
C101,139.25,-100.75,0.0,top
C102,123.25,-108.25,180.0,top
C103,123.7,-120.33,270.0,top
C104,127.75,-127.1,180.0,top
C105,134.72,-127.1,180.0,top
C106,123.5,-118.75,180.0,top
C107,139.7,-127.1,180.0,top
C108,122.0,-115.02,270.0,top
C109,146.7,-125.6,0.0,top
C110,148.7,-118.1,270.0,top
C111,148.7,-112.6,270.0,top
C112,122.0,-118.27,270.0,top
C113,148.95,-104.9,270.0,top
C114,145.525,-127.125,0.0,top
C115,139.25,-102.1,0.0,top
C116,134.25,-102.0,0.0,top
C117,149.75,-106.925,0.0,top
C118,125.7,-103.35,180.0,top
C119,123.7,-113.6,90.0,top
C120,123.22,-121.85,180.0,top
C121,120.7,-122.8875,180.0,top
C122,120.7,-124.6375,180.0,top
C201,151.98,-90.25,0.0,top
C202,149.0,-94.75,0.0,top
C203,145.1717,-93.0,270.0,top
D101,160.58,-124.75,0.0,top
D102,160.9,-93.0,270.0,top
D103,197.05,-126.175,270.0,top
D104,160.875001,-95.23,90.0,bottom
D105,126.0,-89.281202,0.0,top
D106,128.5,-89.281202,0.0,top
D107,160.875001,-97.35,90.0,bottom
D108,198.075,-127.5,90.0,top
D109,198.1,-130.33,90.0,top
D110,131.1668,-89.281202,0.0,top
D111,160.875001,-99.6,90.0,bottom
D112,133.6668,-89.281202,0.0,top
D113,134.0,-91.581202,270.0,top
D114,131.5,-91.581202,270.0,top
D115,128.8668,-91.581202,270.0,top
D116,126.3668,-91.581202,270.0,top
D117,166.25,-99.98,180.0,top
D201,151.75,-89.25,180.0,top
D202,143.0,-93.5,90.0,top
D401,122.2,-132.734399,180.0,top
D402,122.2,-134.734399,180.0,top
D403,110.7,-132.734399,180.0,top
D404,110.7,-134.734399,180.0,top
D405,122.2,-130.734399,180.0,top
D406,110.7,-130.734399,180.0,top
D407,127.95,-132.734399,180.0,top
D408,127.95,-134.734399,180.0,top
D409,116.45,-132.734399,180.0,top
D410,116.45,-134.734399,180.0,top
D411,127.95,-130.734399,180.0,top
D412,116.45,-130.734399,180.0,top
D501,94.5,-88.45,90.0,top
D502,93.5,-88.45,90.0,top
D503,93.5,-91.3,270.0,top
D504,94.5,-91.3,270.0,top
D505,94.5,-93.6,90.0,top
D506,93.5,-93.6,90.0,top
D507,93.5,-96.4,270.0,top
D508,94.5,-96.4,270.0,top
D509,94.5,-98.7,90.0,top
D510,93.5,-98.7,90.0,top
D511,93.5,-101.65,270.0,top
D512,94.5,-101.65,270.0,top
D513,94.5,-104.05,90.0,bottom
D514,93.5,-104.05,90.0,bottom
D515,93.5,-106.8,270.0,bottom
D516,94.5,-106.8,270.0,bottom
D517,94.5,-109.2,90.0,bottom
D518,93.5,-109.2,90.0,bottom
D519,94.5,-111.9,270.0,bottom
D520,93.5,-111.9,270.0,bottom
D521,94.5,-63.0,90.0,top
D522,93.5,-63.0,90.0,top
D523,93.5,-65.9,270.0,top
D524,94.5,-65.9,270.0,top
D525,94.5,-68.35,90.0,top
D526,93.5,-68.35,90.0,top
D527,93.5,-71.15,270.0,top
D528,94.5,-71.15,270.0,top
D529,94.5,-73.35,90.0,top
D530,93.5,-73.35,90.0,top
D531,93.5,-76.05,270.0,top
D532,94.5,-76.05,270.0,top
D533,94.5,-78.25,90.0,top
D534,93.5,-78.25,90.0,top
D535,93.5,-81.25,270.0,top
D536,94.5,-81.25,270.0,top
D537,94.5,-83.5,90.0,top
D538,93.5,-83.5,90.0,top
D539,93.5,-86.25,270.0,top
D540,94.5,-86.25,270.0,top
D541,194.75,-62.95,90.0,top
D542,194.75,-88.2,90.0,top
D543,193.75,-62.95,90.0,top
D544,193.75,-88.2,90.0,top
D545,193.75,-65.65,270.0,top
D546,193.75,-91.15,270.0,top
D547,194.75,-65.65,270.0,top
D548,194.75,-91.15,270.0,top
D549,194.75,-68.2,90.0,top
D550,193.75,-94.05,270.0,top
D551,193.75,-68.2,90.0,top
D552,194.75,-94.05,270.0,top
D553,193.75,-70.8,270.0,top
D554,193.75,-97.05,270.0,top
D555,194.75,-70.8,270.0,top
D556,194.75,-97.05,270.0,top
D557,194.75,-73.2,90.0,top
D558,193.75,-99.9,270.0,top
D559,193.75,-73.2,90.0,top
D560,194.75,-99.9,270.0,top
D561,193.75,-75.8,270.0,top
D562,194.75,-101.85,90.0,top
D563,194.75,-75.8,270.0,top
D564,193.75,-101.85,90.0,top
D565,194.75,-78.1,90.0,top
D566,193.75,-104.55,270.0,top
D567,193.75,-78.1,90.0,top
D568,194.75,-104.55,270.0,top
D569,193.75,-80.9,270.0,top
D570,193.75,-106.45,90.0,top
D571,194.75,-80.9,270.0,top
D572,194.75,-106.45,90.0,top
D573,194.75,-83.1,90.0,top
D574,194.75,-109.05,270.0,top
D575,193.75,-83.1,90.0,top
D576,193.75,-109.05,270.0,top
D577,193.75,-86.05,270.0,top
D578,194.75,-112.05,270.0,top
D579,194.75,-86.05,270.0,top
D580,193.75,-112.05,270.0,top
FB101,122.45,-123.8875,270.0,top
R101,160.5,-126.75,180.0,top
R102,122.5,-96.75,270.0,top
R103,126.45,-101.25,0.0,top
R104,158.725001,-99.2683,180.0,bottom
R105,158.725001,-97.2683,180.0,bottom
R106,158.725001,-95.23,180.0,bottom
R107,158.77,-93.2683,0.0,top
R108,196.8,-130.265,270.0,top
R109,195.77,-131.24,270.0,top
R201,149.0,-95.75,0.0,top
R202,150.0,-96.75,0.0,top
R203,144.75,-94.5,0.0,top
R301,155.775199,-117.3648,0.0,top
R302,155.775199,-119.3648,0.0,top
R401,121.7,-136.234399,180.0,top
R402,110.2,-136.234399,180.0,top
R403,124.5,-132.234399,270.0,top
R404,125.45,-133.244399,270.0,top
R405,112.9,-132.234399,270.0,top
R406,113.95,-133.234399,270.0,top
R407,127.45,-136.234399,180.0,top
R408,130.2,-132.224399,270.0,top
R409,131.2,-133.244399,270.0,top
R410,115.96,-136.234399,180.0,top
R411,118.7,-132.234399,270.0,top
R412,119.7,-133.234399,270.0,top
U301,152.525199,-118.3148,0.0,top
Y101,119.4,-116.12,270.0,top
